items_purchased__2023,unnamed_1,unnamed_2,unnamed_3,source_system,source_category
Doubletree overnight stay & breakfast,160,100,4,fundraising_auction_sold_items,donation
Animal Advnture Stuffed animal & 4 JungleBell Tickets,110,80,4,fundraising_auction_sold_items,donation
Mirabito Gift Cards,100,110,4,fundraising_auction_sold_items,donation
Ely Park Golf for 4,160,120,4,fundraising_auction_sold_items,donation
Berkshire Farms Kitchen Basket,65,60,4,fundraising_auction_sold_items,donation
Hair Dryer & Spin Brush,80,70,4,fundraising_auction_sold_items,donation
Michelle Swan Massage,75,60,4,fundraising_auction_sold_items,donation
Barbie Items,90,105,4,fundraising_auction_sold_items,donation
Maines Gift Card,100,140,4,fundraising_auction_sold_items,donation
Reindeer & Earrings,60,55,4,fundraising_auction_sold_items,donation
Last Man Standing signed script,VIP,50,4,fundraising_auction_sold_items,donation
Van Cott Bracelet,70,75,5,fundraising_auction_sold_items,donation
Marble Chess Set,80,70,5,fundraising_auction_sold_items,donation
Beer and goodies bucket,150,140,5,fundraising_auction_sold_items,donation
Hoffman Carwash Gift Card,75,60,5,fundraising_auction_sold_items,donation
Cooler & Beer,120,140,5,fundraising_auction_sold_items,donation
Lottery tree,VIP,80,5,fundraising_auction_sold_items,donation
Dog Items,75,65,5,fundraising_auction_sold_items,donation
Crossbody Chest Bags,75,75,5,fundraising_auction_sold_items,donation
Hexclad Wok,150,150,5,fundraising_auction_sold_items,donation
Yeti & Stanley products,400,380,6,fundraising_auction_sold_items,donation
Griddle,250,280,6,fundraising_auction_sold_items,donation
Jack Nicklaus sgned pic & scorecard,VIP,100,6,fundraising_auction_sold_items,donation
Lottery tree,VIP,120,6,fundraising_auction_sold_items,donation
Wegmans Gift Card,150,170,6,fundraising_auction_sold_items,donation
Woodfire Pellet Smoker,500,700,6,fundraising_auction_sold_items,donation
Remliks GC & Kampai GC,130,145,7,fundraising_auction_sold_items,donation
Air Fryer,130,125,8,fundraising_auction_sold_items,donation
Traditions Massage,100,105,10,fundraising_auction_sold_items,donation
Basket of Cheer,160,210,12,fundraising_auction_sold_items,donation
Avon Basket,488,,No Bid,fundraising_auction_sold_items,donation
